,2024-02-14 09:00:00,2024-02-14 12:00:00,2024-02-14 15:00:00,2024-02-14 18:00:00,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
100.0,1.6323416762190235e-05,1.1699682533417564e-05,8.299987248886636e-06,1.4333952563266367e-05,1.713044780832329e-05,8.693254354165686e-06,1.8178750561808281e-06,-5.503059389042589e-07,3.3138817872039404e-06,6.212278260909151e-07,-2.426999911792941e-06,-3.9556197202503214e-07,3.931667178586038e-06,6.298743171489058e-06,4.787914840210646e-06,4.734728827332448e-06,8.801964057907742e-06,1.275655833340011e-06,-6.709983678782902e-07,4.66828722893065e-06,1.3885539252957794e-06,-1.808296465395025e-07,4.070453622388741e-06,8.649479348927491e-06,5.174564494644421e-06,9.039786635162964e-06,9.933723545555431e-06,6.85402307965727e-06,1.0191728379106652e-05,1.4382871879130124e-05,5.983518015811372e-06,4.161103959613423e-06,4.750093702012841e-06,8.2633180176696e-06,1.3414057976605808e-05,8.98419982568073e-06,5.125169192229726e-06,8.145200047319824e-06,7.883647032848004e-06,9.824680581074739e-06,1.4403634077049509e-05,1.1726101850163495e-05,1.1163651574490956e-05,1.1230009210085015e-05,1.3410071307318849e-05,1.1942112218706221e-05,1.0515624955523455e-05,1.0110366335448758e-05,1.3843177227487756e-05,1.7999451655570913e-05,1.926858899002017e-05,1.5459244076361768e-05,1.0570801965260266e-05,8.035908387585553e-06,1.3889939878061152e-05,1.4297307599003662e-05,1.2754585206821185e-05,1.3003519049088285e-05,1.847056859911306e-05,1.9910500270220548e-05,1.2828804733801331e-05,8.201715970472318e-06,7.486012779735e-06,9.725369871259772e-06,1.0887300492074356e-05,1.5023116078447285e-05,1.2085524661102214e-05,9.883402710547104e-06,8.196066775595867e-06
200.0,1.1352964315385341e-05,1.6919316843384224e-05,1.5561463579651465e-05,1.3842790097668625e-05,1.571767200355835e-05,1.0753672528504854e-05,1.0934616747485833e-05,9.708509051268405e-06,1.1767292119094926e-05,1.0699817469824861e-05,1.1326711234220891e-05,1.3085401003308287e-05,1.0330264062030677e-05,7.198614874084588e-06,3.234104546674664e-06,3.0959716416646416e-07,3.1705067350325205e-06,1.0806203255753958e-05,1.36379673377917e-05,1.2759942889057624e-05,1.4229299063079735e-05,1.387867454879343e-05,1.2110413515315103e-05,1.2320360602850318e-05,1.082313022493746e-05,1.2523959526119159e-05,1.4359938654876986e-05,1.1315729982772943e-05,8.33183787066781e-06,8.4861585950366e-06,1.1749050140795692e-05,1.645177626947309e-05,1.5130400675764744e-05,8.92162665340664e-06,8.88995813805651e-06,1.71897961952955e-05,1.3463223261759496e-05,9.752458870657826e-06,1.235836807738902e-05,1.1866809177836833e-05,1.3653381558293729e-05,1.5296551991979554e-05,1.3056858392590485e-05,1.2462174996992563e-05,1.2875872482135524e-05,1.527904304054071e-05,1.636174664453026e-05,1.5864711656088523e-05,1.2380761913223595e-05,1.2883705320355647e-05,1.3867515748131193e-05,1.8244779837990814e-05,2.1065533960835355e-05,1.679587594610096e-05,1.3429968897692464e-05,1.0442405199666881e-05,1.0364352939690529e-05,1.0892150777425159e-05,9.632796908695102e-06,1.5111002749014498e-05,2.0157466118715057e-05,1.9114642352367834e-05,1.4959741507264216e-05,1.6330332359449157e-05,8.172830429831219e-06,1.2562098272777388e-05,1.5643051299291352e-05,1.6429205379461943e-05,1.776334143983616e-05
300.0,8.222494468088514e-06,8.79951746133202e-06,1.41158065074156e-05,1.57166598349825e-05,1.9509971080720104e-05,1.4691280522943637e-05,1.2691770680016204e-05,9.55769918342186e-06,9.211910868415164e-06,7.920096339862017e-06,8.994275556032826e-06,8.919567212236348e-06,8.494561425373273e-06,9.410381821022946e-06,1.1595669829673529e-05,8.34229789553371e-06,2.852001074314249e-06,2.47096694777201e-06,6.9005889649302495e-06,8.234699210760557e-06,7.385749310403567e-06,1.0718408051014925e-05,1.3501518856942545e-05,1.2755311948392469e-05,1.3182325023566218e-05,9.166537276360566e-06,1.2476429656335841e-05,1.6354147606583636e-05,1.3504887410544653e-05,9.423448638212488e-06,7.913337143760394e-06,9.810939457325748e-06,1.4301611871800328e-05,1.4082137314794487e-05,1.0038345909551612e-05,1.6687661658760735e-05,1.7774638764164083e-05,1.1079475698400638e-05,8.662342465024412e-06,8.327355554686306e-06,1.2043657801660183e-05,1.555042146990317e-05,1.758025580792941e-05,1.502455723982459e-05,1.3867703453457676e-05,1.3678098124418074e-05,1.1678882054098922e-05,1.4452567356075976e-05,1.360311061046438e-05,1.526178994918076e-05,1.4319034391354684e-05,1.389872697532616e-05,1.8289038184488087e-05,1.8026191758119054e-05,1.6201805077520714e-05,1.5412633194707215e-05,1.2194122437693378e-05,1.28759754264552e-05,1.1428443909750124e-05,8.171207720272161e-06,9.644421172866447e-06,1.6535466462880122e-05,1.8630632244830362e-05,2.1400849785472033e-05,2.023101173616287e-05,1.241148248649534e-05,1.4386953380935923e-05,1.4378696401738102e-05,1.8311253859332625e-05
500.0,9.044387616691254e-06,1.017881365101936e-05,8.686254684603183e-06,8.988478166355023e-06,6.554381772054043e-06,1.0647322200895201e-05,9.60405816043187e-06,7.37226905377232e-06,8.806588635443597e-06,9.67876478855205e-06,9.61994520454427e-06,1.1181942204571037e-05,9.86681817645124e-06,1.0962426243699243e-05,1.1339411648905353e-05,1.1545655161997945e-05,9.300958652423805e-06,6.246783149337596e-06,8.693095161063626e-06,9.077705592716331e-06,8.303933408655032e-06,5.110688678189341e-06,6.664833315842429e-06,6.635955774916313e-06,1.0476173039167734e-05,6.368948771434355e-06,3.0975477104962762e-06,6.567512823938649e-06,9.630350562147942e-06,1.2427764903909673e-05,1.1754364861640493e-05,1.0852157986804722e-05,1.2191915809727746e-05,9.68221256254634e-06,6.977823648289784e-06,8.297937556512937e-06,1.3625711751502463e-05,1.695288578418502e-05,1.724917023024522e-05,1.701003210819469e-05,1.452257345076495e-05,1.2407369311784548e-05,1.665906652482125e-05,1.5420917641140705e-05,1.4588037131726669e-05,1.5345158563438942e-05,1.5168555394649465e-05,1.771021444921958e-05,1.5608982020070276e-05,1.2805366879593639e-05,1.2568901027407569e-05,1.322947385474157e-05,1.4485408105287302e-05,1.5575219899995856e-05,1.6938333701322437e-05,1.7194672423687344e-05,1.5910036092549937e-05,1.7989278950337052e-05,1.910126544493395e-05,1.9605880195781806e-05,1.5724055633121513e-05,1.081696227833692e-05,1.1565995388830444e-05,1.221814916100783e-05,1.3810686666253024e-05,1.3973811449102977e-05,1.7020721624416187e-05,1.3861405023764864e-05,1.3243073409596622e-05
700.0,1.064506291668445e-05,9.755309783611529e-06,8.993218241869353e-06,8.845815543006746e-06,6.796015330342039e-06,7.959806658835263e-06,1.0947725190387415e-05,7.137362292136829e-06,5.678217531488604e-06,7.221330406464213e-06,5.69965336315905e-06,7.0756690757520674e-06,5.532406661514036e-06,5.837783254712119e-06,7.909107576990762e-06,1.1671138674793368e-05,9.49145430524159e-06,7.217892339473898e-06,7.464366183664205e-06,1.0184786708005123e-05,1.1956763408560299e-05,1.1550064836974986e-05,8.554217688444151e-06,7.968864647141534e-06,8.336670516304434e-06,1.074958380808854e-05,6.407945919264727e-06,3.2124178038813097e-06,5.303365255154925e-06,7.020067453370329e-06,7.540736492513916e-06,7.360725246235492e-06,1.1582902086325774e-05,1.4191875268106316e-05,1.1274855698476089e-05,1.3423583767476599e-05,1.3081912314884436e-05,1.1749933801854027e-05,1.1745121381142417e-05,1.4876118065192276e-05,1.5525048464619946e-05,1.4065308832774753e-05,1.376492495105657e-05,1.618655147871405e-05,1.4263252210937565e-05,1.3065102346191849e-05,1.2421050722859208e-05,1.427773913637618e-05,1.813763563210259e-05,1.6370048032119712e-05,1.4854541483338098e-05,1.2510122002925144e-05,1.3875309616721308e-05,1.4900192481367989e-05,1.682432698115863e-05,1.859582079199521e-05,1.549058182327283e-05,1.4385308298072823e-05,1.4422136203151298e-05,1.746404057527938e-05,2.0209803801637547e-05,1.616074736295187e-05,1.1323105844123622e-05,9.287698174442346e-06,1.3508270894303112e-05,8.894529690261418e-06,9.028830444996764e-06,1.291715742406014e-05,1.478628226206541e-05
1000.0,6.043580884842941e-06,8.188921605336324e-06,9.956301607162676e-06,7.525664623708077e-06,3.257551700957864e-06,4.2461435202252e-06,5.588586546994086e-06,6.457927040516828e-06,8.544218105497736e-06,1.0301687641648218e-05,8.987746404335405e-06,1.1812462632714394e-05,1.4285619554607827e-05,1.1408310638220741e-05,9.91800083245994e-06,1.0619551575377492e-05,1.623472478040419e-05,1.764566765820518e-05,1.564097932188934e-05,1.2738368041182416e-05,1.076727056052986e-05,9.72544806015108e-06,1.0296974382919755e-05,1.0408167960194245e-05,9.770842468788929e-06,1.1008416679444888e-05,1.2860366650670254e-05,1.2193260999393157e-05,9.948063858647862e-06,1.0430572063068016e-05,1.0705843683339374e-05,1.0935452269074543e-05,9.532275570913986e-06,1.2345924348965318e-05,1.200488574602242e-05,1.181832931044449e-05,1.1126698469906157e-05,1.3043282723750443e-05,1.1637623762324223e-05,1.1583120456684845e-05,1.466416935565983e-05,1.5148107126461572e-05,1.3015438758785555e-05,1.3032106115494025e-05,1.2264617616446036e-05,1.238905524266903e-05,1.2533045664313451e-05,9.034425156598953e-06,1.0598620782163893e-05,1.4050248161632005e-05,1.643481304035926e-05,1.4378707497659923e-05,1.2844425733060328e-05,1.4361836373502882e-05,1.2817324173288124e-05,1.260312211717434e-05,1.629375831840416e-05,1.7124954709907373e-05,1.4080391497010243e-05,1.250837797141824e-05,1.4284131408939866e-05,1.8563853002645838e-05,1.4799977583726897e-05,5.6122715005345625e-06,9.421257883638448e-06,1.3392892706925283e-05,9.343862583745522e-06,1.0110822177852424e-05,8.93107711378427e-06
2000.0,8.234364276945462e-06,5.564164097217971e-06,3.7951799960552794e-06,5.434659497310536e-06,8.430821320441815e-06,4.2194369192244015e-06,5.433419526289598e-06,8.682394328020306e-06,9.17083179589051e-06,6.088277044308428e-06,3.88888769956734e-06,1.556384808551253e-06,1.1194545710749161e-06,3.988390360617457e-06,5.349573182244829e-06,5.587489668603096e-06,4.038998049734885e-06,3.554285045589871e-06,1.6772593688086367e-06,6.145486718548379e-07,1.3068073846300708e-06,2.399799649672216e-06,2.597380161455757e-06,1.373009406314298e-06,4.0226588350867585e-07,2.4776087019841654e-06,5.080295266418215e-06,6.946669014320551e-06,5.97507270052165e-06,2.901426277291171e-06,1.7102810821223018e-06,3.879953117433442e-06,4.448489155022368e-06,3.546437191309881e-06,3.987315999898083e-06,5.7103824381006415e-06,5.724585361080496e-06,5.331644576034801e-06,6.38915999900933e-06,7.803245649605515e-06,8.725135695324748e-06,9.59213451104319e-06,6.653076434520997e-06,7.3462037357581866e-06,1.017842788820035e-05,1.1144357196137855e-05,1.0144120509897549e-05,1.1655009121401814e-05,1.2480262464893016e-05,9.742785260574789e-06,6.880492871945789e-06,8.941565488432427e-06,9.196846404126814e-06,1.0704768978439538e-05,1.1478791806410619e-05,9.909066065730567e-06,7.766091927669864e-06,6.919351995962658e-06,1.1112819820851603e-05,1.125835224005317e-05,8.91027970543862e-06,8.396646688352923e-06,9.214803639036397e-06,1.2332063277230245e-05,8.125626087125641e-06,8.375885338936256e-06,8.377378503037372e-06,9.607388132423241e-06,7.059291613281564e-06
3000.0,6.578870332179464e-06,6.416355307951552e-06,7.911692706341578e-06,7.777032380422801e-06,9.880290629507851e-06,8.598901367436092e-06,6.773811246252607e-06,8.596333172948486e-06,8.444833584533257e-06,7.2599512998120035e-06,7.865550189965043e-06,8.789882251965857e-06,7.340437542089573e-06,7.199277921620074e-06,7.918812301182779e-06,9.258479223819687e-06,5.032859993416109e-06,5.201708879044729e-06,5.922531521193565e-06,6.952028125558692e-06,7.211785756929617e-06,6.655253256713881e-06,5.387016933030895e-06,5.872103355282322e-06,7.26547201998951e-06,6.92482689262792e-06,5.386919425790187e-06,3.878303756491236e-06,4.6117034370436805e-06,4.58801766431194e-06,4.72595379717437e-06,5.413075658603792e-06,6.4548892149639666e-06,7.543998356960621e-06,6.853005543496844e-06,5.082351205675823e-06,5.70711920736815e-06,7.018147182165046e-06,9.580477335352446e-06,8.294649958344379e-06,6.129318129299769e-06,8.072749135927198e-06,7.495882360181168e-06,7.158910151372746e-06,8.4755379901226e-06,5.9452800995969155e-06,6.588724874242852e-06,8.12881013489239e-06,7.945688288576656e-06,1.1297055399537405e-05,1.1292786545668269e-05,1.0871054622843732e-05,9.564886377849897e-06,9.797646312984356e-06,9.695008993447681e-06,1.0745048509385419e-05,1.1149410295205012e-05,9.92415854106726e-06,1.0212896501779832e-05,9.86685876678918e-06,9.427674660808175e-06,8.447350871443566e-06,1.1053067036326567e-05,1.294434159442622e-05,1.0544980840085732e-05,9.132274636491129e-06,8.363777234314976e-06,7.392847884697427e-06,1.06318431843107e-05
5000.0,6.566229625553966e-06,9.23957296341603e-06,8.06611849058866e-06,3.032573223942938e-06,1.9208059521016764e-06,5.4853703555389545e-06,6.752458572421554e-06,6.697010843754157e-06,6.965438514977223e-06,5.133196915945181e-06,2.758227535727014e-06,2.527961350496723e-06,4.315887904444983e-06,5.093374078092208e-06,6.6006696289121e-06,7.131913553375616e-06,8.18631973013003e-06,7.021929235858379e-06,5.162760166854126e-06,4.6540742647265635e-06,5.455651471903038e-06,3.9481405286055405e-06,5.437425990426961e-06,4.939915025602539e-06,2.4012027580534525e-06,2.257641029870861e-06,4.303643419013352e-06,4.332343503733702e-06,3.1646474398253095e-06,3.6723289373530757e-06,3.6397240882075538e-06,3.9765064315654945e-06,2.597429229170729e-06,3.182547716950816e-06,4.148125720533988e-06,3.2984111661153427e-06,2.0645361719902793e-06,1.1027668949312014e-06,2.1062125799494835e-06,2.79067216825426e-06,6.280460818955415e-06,5.971246318344003e-06,5.6404273895515e-06,8.660755295092433e-07,8.240289845827465e-07,3.1234594908587043e-06,4.134163694634426e-06,5.410331671423031e-06,7.044318545249968e-06,3.247691894801841e-06,4.84369576248145e-08,-8.696105072227804e-07,2.259867700577475e-06,4.191119381568199e-06,4.646275905436416e-06,4.418871474167247e-06,3.594153597810368e-06,1.9085714429054462e-06,1.1856378966095433e-06,3.3399760834929583e-06,5.566025110662734e-06,5.759199674586723e-06,5.134246560975503e-06,3.3145162865196295e-06,2.0597709392057657e-07,1.454168836458412e-06,6.400196491737783e-06,7.2919207693101986e-06,6.0794250326649115e-06
7000.0,1.5354400444756665e-05,1.3712807933346881e-05,1.3529159195623842e-05,9.381043805544023e-06,6.6822173397193805e-06,5.502711745379558e-06,4.591410549484395e-06,4.565355312381047e-06,3.2843359005803207e-06,4.066736986749764e-06,3.2226198831797506e-06,3.2806151697487033e-06,3.843338389621664e-06,3.540723947597812e-06,9.433493324739685e-07,1.2556071614482684e-06,1.2484722548582751e-06,-1.4486980995129754e-06,3.6126610534794214e-08,2.3536939719655856e-06,1.4225730347911366e-06,6.684287908148214e-07,4.00137898428964e-07,-2.089693754312101e-06,-2.89786021340157e-06,-4.748816028903476e-06,-4.072155209359607e-06,-2.6127277127546065e-06,-1.9723098727661845e-06,-5.227728228463236e-07,1.0657128655845386e-07,-9.413976878261792e-07,-1.995088689425145e-06,-5.6903444221424565e-06,-6.111338424060542e-06,-5.242096907291311e-06,-8.251540150690625e-07,3.6706357201655768e-06,5.388675457797646e-06,6.56485291036751e-06,5.1148546105772795e-06,1.370951150922348e-06,4.070052740077768e-06,8.496557332718184e-06,9.39387854943104e-06,8.8646724103164e-06,8.004539704635787e-06,7.556690518158517e-06,8.445681535176395e-06,1.0491699315596208e-05,1.0295386575130318e-05,9.018140933997097e-06,7.471043824363731e-06,7.39812177021944e-06,9.114109062637544e-06,7.14468822050095e-06,8.690428913555194e-06,9.9081269225581e-06,1.041016096081934e-05,8.51440239956437e-06,8.024497616295176e-06,8.617850680335053e-06,9.401258350112566e-06,1.1443466927146135e-05,1.0175361475221754e-05,7.44484168453854e-06,8.177217166901086e-06,1.0579923002687149e-05,1.206467252076893e-05
