,2024-02-14 09:00:00,2024-02-14 12:00:00,2024-02-14 15:00:00,2024-02-14 18:00:00,2024-02-14 21:00:00,2024-02-15 00:00:00,2024-02-15 03:00:00,2024-02-15 06:00:00,2024-02-15 09:00:00,2024-02-15 12:00:00,2024-02-15 15:00:00,2024-02-15 18:00:00,2024-02-15 21:00:00,2024-02-16 00:00:00,2024-02-16 03:00:00,2024-02-16 06:00:00,2024-02-16 09:00:00,2024-02-16 12:00:00,2024-02-16 15:00:00,2024-02-16 18:00:00,2024-02-16 21:00:00,2024-02-17 00:00:00,2024-02-17 03:00:00,2024-02-17 06:00:00,2024-02-17 09:00:00,2024-02-17 12:00:00,2024-02-17 15:00:00,2024-02-17 18:00:00,2024-02-17 21:00:00,2024-02-18 00:00:00,2024-02-18 03:00:00,2024-02-18 06:00:00,2024-02-18 09:00:00,2024-02-18 12:00:00,2024-02-18 15:00:00,2024-02-18 18:00:00,2024-02-18 21:00:00,2024-02-19 00:00:00,2024-02-19 03:00:00,2024-02-19 06:00:00,2024-02-19 09:00:00,2024-02-19 12:00:00,2024-02-19 15:00:00,2024-02-19 18:00:00,2024-02-19 21:00:00,2024-02-20 00:00:00,2024-02-20 03:00:00,2024-02-20 06:00:00,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-20 15:00:00,2024-02-20 18:00:00,2024-02-20 21:00:00,2024-02-21 00:00:00,2024-02-21 03:00:00,2024-02-21 06:00:00,2024-02-21 09:00:00,2024-02-21 12:00:00,2024-02-21 15:00:00,2024-02-21 18:00:00,2024-02-21 21:00:00,2024-02-22 00:00:00,2024-02-22 03:00:00,2024-02-22 06:00:00,2024-02-22 09:00:00,2024-02-22 12:00:00,2024-02-22 15:00:00,2024-02-22 18:00:00,2024-02-22 21:00:00
100.0,-2.935585586084933e-10,-2.153394370015029e-10,1.1493425633561801e-10,3.3226940074879796e-10,1.4371160094250507e-11,-4.6361042127429347e-10,-3.9512077561893543e-10,-4.310489038121435e-11,9.319737987416453e-11,6.006613919505861e-12,1.292650503558843e-10,3.172081993643028e-10,3.602835529572474e-10,4.6052424668413914e-11,9.502794265410183e-12,2.829596046518161e-10,-3.2941782121576286e-10,-4.748360197693549e-10,1.5389620742796414e-10,9.259399723507965e-11,-1.8038920400670173e-10,1.497511647350159e-10,2.96145278765056e-10,3.385793659919614e-11,1.4890704141996566e-11,1.6397411526301524e-10,-1.6364823422368427e-10,-2.0096022546157058e-11,2.4370332019898393e-10,-1.8598466938267168e-10,-4.1195390607592756e-10,-2.824733272500824e-10,1.273923609883964e-10,4.594110706025907e-10,-5.935112757491615e-11,-6.278675019402884e-10,-5.393297601987128e-11,1.743611065586307e-10,7.92634513167502e-11,2.5834403773270845e-10,3.2710718758455737e-11,-1.8023042120767257e-10,-7.597485237778302e-11,5.123577615628067e-11,-7.883325720823504e-11,-2.1813780228245837e-10,-8.024038533438489e-11,1.7651738176150235e-10,3.909933134898083e-10,2.702164681773754e-10,-1.2263239116127921e-10,-3.997199098777935e-10,-2.94164558909695e-10,8.096009391972959e-11,1.689534949165536e-10,-4.54690815814849e-12,-4.6240147402076935e-11,1.4427695816117364e-10,3.1302869584905895e-10,-3.0509015607975075e-10,-5.380162121713862e-10,-2.174716548047179e-10,5.673345459407168e-11,1.7283204274672294e-10,2.346006778275507e-10,4.093413185950464e-11,-2.366011607076298e-10,-1.7731735919629978e-10,-1.7321412368445835e-10
200.0,6.392494881244165e-10,2.0303538475217666e-10,-2.2377295728179814e-10,6.235888220361627e-11,-1.294102727900355e-10,-2.6114873036941194e-11,3.3292630220792964e-11,8.930822968382982e-11,7.873787169435211e-11,1.3656179793768542e-10,4.685000914637817e-11,-7.1579042509208e-11,-2.5114140257815364e-10,-2.615814345323148e-10,-3.4548709646714383e-10,-8.68476392955395e-11,6.759359278380302e-10,5.166461169160836e-10,1.2746145073653213e-10,6.815866589976106e-11,1.1681353060600422e-10,-1.2484051367190393e-10,-1.0007165137492719e-10,-7.039498365111775e-12,-1.3427359311001462e-11,1.4948872546150397e-10,-7.22079277980493e-11,-2.5663837619751356e-10,-1.0303370852846647e-10,1.5976011570777217e-10,3.846210557247575e-10,1.454255976382559e-10,-2.71267376934029e-10,-2.837139501780115e-10,3.899716833016591e-10,6.137764786462759e-11,-3.3353749932572326e-10,-5.530137668156462e-12,6.131776583060348e-11,5.0588845013823786e-11,1.1255344914647936e-10,2.6330986396075114e-11,-1.1951093820843625e-10,5.481860026546457e-12,1.1926274520375008e-10,1.8670323270829226e-10,9.595070845696688e-11,-1.9532364700235374e-10,-1.4018160943582166e-10,6.244558181630751e-11,2.512644129034862e-10,4.025656563010843e-10,-9.528829899785568e-11,-4.4731904433608757e-10,-3.565866584122932e-10,-1.8680452352662063e-10,-3.476156311018578e-11,-6.427688103567409e-11,1.8141113879079223e-10,4.947001132796462e-10,1.6634690030840725e-10,-3.5273487548522946e-10,-2.9313328613193494e-10,-4.781831415549362e-10,-4.7567255708652464e-11,3.5163163918282297e-10,1.4239576137593117e-10,1.9209004661948533e-11,-1.9160999861519762e-11
300.0,7.272706942558194e-11,3.255542005528804e-10,2.638992680212467e-10,2.6763416262249606e-10,4.9424184433141425e-11,-2.2233636127470667e-10,-1.635766954882148e-10,-3.857460883897935e-11,8.133823492361711e-12,1.6300117293275087e-11,-2.7222850529185724e-12,6.848370707557837e-11,4.385525511621461e-12,-1.9600327213257925e-11,-1.9344703453598377e-10,-3.878687633379819e-10,-2.2236871710947444e-10,1.3063422485089265e-10,2.4851861757787836e-10,8.950050317170455e-11,1.7150874697080416e-10,2.170400422446905e-10,1.4964651302202965e-12,-1.49836429581812e-10,-2.1492264669962247e-10,-5.34930893266207e-11,2.9732764690109493e-10,7.638757025231114e-11,-3.4527012268202457e-10,-2.9970156350258337e-10,-3.1508880588710785e-12,3.2891851864807546e-10,1.5745222461414547e-10,-1.9797901324723386e-10,-2.3762440113267583e-11,2.479424728014155e-10,-2.2748302543908472e-10,-4.343674954721991e-10,-8.959420742515432e-11,8.449195123680633e-11,3.1382436622309874e-10,3.070239603167598e-10,-2.1764477137334432e-11,-1.7425654978667662e-10,-4.811132622856576e-11,-7.41397105388782e-11,-9.832560819814284e-13,8.319585477922557e-11,-6.859767640172869e-13,2.7135510457971683e-11,2.3753534019514635e-11,1.660032042994954e-10,1.6560334953416001e-10,-1.0812084565199416e-10,-1.5144468010512275e-10,-2.2905070788545096e-10,-1.0812034347192326e-10,-1.566731661664992e-11,-2.348791345230124e-10,-1.751844670579261e-11,3.7811515012366044e-10,4.0494110098979857e-10,2.035330990912862e-10,1.0637076305467895e-10,-4.332987211555391e-10,-2.166612950440613e-10,7.560544010503438e-11,1.672179598452668e-10,3.5009628212028873e-10
500.0,1.312973013749088e-10,-1.2311059686947762e-10,-1.2704253243487528e-11,-1.9223028692384873e-10,2.392223731247255e-10,1.6826442011801992e-10,-1.614617581207483e-10,4.7150094886640387e-11,1.0287023081137662e-10,9.354367214033407e-11,1.1739829751797843e-10,2.601446807720528e-11,-1.0814278889144171e-11,5.181638245203997e-11,1.0559190220551251e-10,-1.1039708234307911e-11,-2.3341825063280875e-10,-1.3789782427002517e-11,1.5946471979070916e-10,2.1784469045457138e-11,-1.4172085942227277e-10,-8.860936480788883e-11,6.434306597039304e-11,1.1231342468778413e-10,-4.598030732024285e-11,-3.5670430598546216e-10,-1.1056726693765374e-11,2.887560161256333e-10,1.9429037943158226e-10,1.2597064483611291e-11,-2.1929289821046585e-10,-1.4570160297706699e-10,-1.5209468617548913e-10,-2.0503689354797723e-10,-1.1962929615734275e-11,2.1807486130797215e-10,3.107684829257517e-10,1.6162749037113516e-10,1.6582525487982843e-11,-1.4695163068158986e-10,-2.4441609057857254e-10,1.6325964570918456e-11,1.1639986109417e-10,-8.656816124185773e-11,9.46254785153271e-12,-1.1457141515237931e-11,1.06322694057165e-10,8.247861253536614e-13,-1.9941561078099212e-10,-1.276385349684166e-10,-5.739946728086392e-12,8.025517749417406e-11,1.331609929797764e-10,1.1713736393822907e-10,7.215855195177342e-11,1.7238918684863182e-11,6.635910190303476e-11,9.872481612132113e-11,1.176765141998671e-10,-1.6786995962569334e-10,-4.165229193082578e-10,-1.5923140757897206e-10,-3.109045733291357e-11,1.2787033688687602e-10,1.9805414144699647e-10,1.1909387740597803e-10,5.727907145015577e-11,-1.8800084651752377e-10,-1.1018696370229199e-10
700.0,-1.307158059444077e-10,-7.895999933709364e-11,-1.730918023137984e-10,-9.214291621288044e-11,5.864336175615876e-12,1.1281075531929867e-10,-1.1066800466804983e-11,-1.8162867325366036e-10,-2.464785083593489e-11,1.2515860024430935e-10,8.718660196987627e-11,-8.85121702639235e-11,-1.4874296868889622e-11,1.5248388622693236e-10,3.0298207327500253e-10,7.119801684595666e-11,-2.1450050373256828e-10,-1.11486112265803e-10,1.3942336562683976e-10,2.2569938937102784e-10,1.1085229420873499e-10,-1.721769058115468e-10,-2.450523598418494e-10,-6.743890438326915e-11,1.1909415833552142e-10,-1.2900655181382109e-10,-3.569582883134419e-10,-9.275844769357772e-11,1.4124158444343633e-10,4.663612802953076e-11,6.830333989235774e-12,3.1800086270244077e-12,2.9668961026270295e-10,7.066624860427349e-11,-1.5708449269338745e-10,-5.738502175608795e-11,-4.7106085646829604e-11,-1.0409963079785256e-10,1.3868686372407215e-10,7.220190719053848e-11,-3.3577970260609805e-11,-6.819127280341457e-11,6.931921752428102e-11,2.908858328689042e-11,-1.3368887981857815e-10,-8.786272790358701e-11,3.9486126302839124e-11,2.8032546512390516e-10,1.0736549680631369e-10,-1.6852676703872944e-10,-1.89851857319856e-10,-1.7558369054313685e-11,1.0943954233039207e-10,1.4031936712941894e-10,1.6825613161966676e-10,-4.822665157489265e-11,-2.0443940148822222e-10,-7.67214468321684e-11,1.6204862756024737e-10,2.4148296745513896e-10,-5.7360542980577146e-11,-3.6678092762751583e-10,-2.403342965309757e-10,3.1321268503691026e-10,-1.5546327901682003e-10,-2.078454556428525e-10,1.5398404448032329e-10,2.7377629132460063e-10,1.9059521449425365e-11
1000.0,2.7658717133558213e-10,2.0162488988212631e-10,9.314877909898169e-12,-2.2833241933698054e-10,-1.0490204995779878e-10,1.7051591110423468e-10,2.348616960665435e-10,1.4782382146343214e-10,2.090200260155894e-10,7.470030684975415e-11,8.278385138337188e-11,1.9787461527237017e-10,5.146567346155506e-12,-2.518960134029348e-10,-1.4039562031889527e-10,2.181105569924523e-10,2.950394053598051e-10,3.0233132815039624e-11,-2.0867127755967283e-10,-2.659334414785335e-10,-1.5349034350799897e-10,7.76093034493657e-12,-1.149700660777813e-11,-6.828683209903354e-11,6.197561516039886e-11,1.6170175208487633e-10,5.743664714210923e-11,-1.1994944837122346e-10,-8.585777150522173e-11,-2.0510941061278295e-11,-9.834784395959294e-11,-5.658850806529825e-11,5.776400816026014e-11,1.2239644559957987e-10,-8.320945263639649e-11,-1.0003433357438799e-10,4.673968262746356e-11,-1.860034179020819e-11,-1.0262014997587059e-10,1.2518365994170514e-10,1.4096515193900626e-10,-5.5777074088008273e-11,-1.1274834460156705e-10,-2.830480523419623e-11,4.005403583098263e-11,-1.0745030395148446e-11,-2.421450221838655e-10,-1.3662257879145586e-10,2.464369613838902e-10,2.660537756266027e-10,6.590940355586193e-12,-1.4924032517846276e-10,-1.873437059419261e-11,-1.6141488008492765e-11,-8.386459528901413e-11,1.4609252583009225e-10,1.5432477314359067e-10,-8.309479488271359e-11,-2.0161897254799397e-10,1.6643284286899872e-11,2.553370751483852e-10,2.673648122033061e-11,-4.6078003263880057e-10,-4.6365936943411464e-10,2.4656580603632344e-10,-4.923723073867483e-11,-9.587240565428381e-11,-1.578644794115912e-13,-7.232148754944247e-12
2000.0,-2.847708739503746e-10,-1.4615685749968117e-10,-4.7252027855032603e-11,2.342743033545308e-10,2.6996112036353213e-11,2.9217729275365044e-11,2.1463329298259288e-10,2.3033429156497875e-10,-9.14060794661864e-11,-2.457444242470158e-10,-1.618057887040989e-10,-7.652201748663305e-11,9.987152988045705e-11,1.9164593585484163e-10,1.7031936535317428e-10,-7.779769667698304e-11,-9.37735696684342e-11,-1.3039895485412691e-10,-1.5279361447444345e-10,-3.956696832923082e-11,2.4546102593131665e-11,9.809577800743858e-11,4.083118863311065e-11,-5.317850857396957e-11,3.627870387290262e-11,2.5253667886432195e-10,2.17185640012242e-10,3.205120501172057e-11,-1.6844417469883342e-10,-1.2011110123902562e-10,8.041572826307294e-11,1.5984563213023965e-10,-4.5178332371522737e-11,-1.567365407831727e-11,3.660239244718467e-11,5.143499458432385e-11,-5.4627149020015495e-11,4.0043879932446824e-11,1.3391615119199053e-10,5.128731956201688e-11,5.430112636627248e-11,-1.29049514078638e-10,-1.2521716242193316e-10,1.7042685447536008e-10,1.9719419848462033e-10,3.713213394921613e-11,-1.7732841622282012e-11,8.401822268321539e-11,-8.537045694187387e-11,-2.8338276693986403e-10,-2.2050014900559258e-11,7.583749920380264e-11,1.0164397844197679e-10,1.1107897316452597e-10,-4.193495191302885e-11,-1.746360204544103e-10,-1.3629706264371496e-10,1.793876792324533e-10,1.8001195813199633e-10,-8.963578026993375e-11,-1.4511255838229056e-10,3.259127418498718e-11,9.986980715916254e-11,8.024868278158985e-11,-8.399735966857168e-11,3.702135047433605e-11,2.9261826891711976e-12,-8.578551646888253e-11,-2.265644398567473e-10
3000.0,3.228897937711393e-11,1.6189457173023034e-11,5.143651220742869e-11,9.156449065398959e-11,2.789085855914446e-11,-1.647227305891655e-10,-6.723223025277301e-11,5.866014992835803e-11,-9.129253014040255e-11,-3.0334229385944565e-11,4.352683287019012e-11,-2.0226037701478216e-12,-9.171161004255113e-11,5.0589600944739995e-12,1.8300287200601643e-11,-1.1638436794713061e-10,-1.9405100084750175e-10,2.989582104242348e-11,7.033486611902078e-11,9.215621346146272e-11,4.630073633263867e-11,-7.529403892855083e-11,-7.169366463848497e-11,2.827750334406354e-11,6.651736130722653e-11,-7.616462819287088e-11,-1.5842839420915304e-10,-3.442399506407356e-11,3.849386960684277e-11,3.48280784170223e-11,6.514747233972439e-11,-1.503566444653661e-11,6.572094093836159e-11,3.694754278158215e-11,-7.847718679883867e-11,-5.36880357446238e-12,8.457542140573376e-11,1.691661048152464e-10,8.676050589521535e-11,-1.199797105892629e-10,1.1831602372201142e-10,3.666801577448715e-11,-3.2554167535578135e-11,3.0360398058340864e-11,-1.1803428546434178e-10,-2.411180421970698e-11,1.294384940592065e-10,9.680408738381514e-11,1.2459651997045608e-10,1.3576860570523724e-10,-4.847959694647751e-11,-8.756131412626583e-11,-6.519338454835519e-11,2.343702415343228e-11,3.673549004406186e-11,8.559262678243693e-11,-3.1459127496020167e-11,-7.610310527369323e-11,-2.750553561904297e-11,-5.55173465097673e-11,-9.273597162233394e-11,8.641668883181772e-11,1.8086778986365607e-10,3.4309002837547584e-11,-2.2650459764668058e-10,-1.3400740403836274e-10,-7.619164110438488e-11,1.134739078377775e-10,3.2565511783134865e-10
5000.0,2.715200109816062e-10,6.346186483872707e-11,-2.378329923303026e-10,-2.57720633097493e-10,8.673474185530604e-11,1.6369197379917414e-10,1.0483772297008519e-10,4.577678338316718e-13,-5.236836859487518e-11,-1.920974819514716e-10,-8.24573784361357e-11,5.864056618800118e-11,1.0299591100486472e-10,7.233270094001104e-11,1.7446140140944102e-10,1.062420638141475e-11,-1.4954837429433072e-12,-1.1807848202090253e-10,-1.215949372917399e-10,-2.3354719899351703e-11,-5.7679162902460526e-11,-3.5233053479915005e-12,5.424066148662898e-12,-1.7041320871953753e-10,-1.390561587603867e-10,7.773605601943495e-11,5.237742703917592e-11,-4.716364201762901e-11,-3.4157880956575458e-12,1.765199654321717e-11,-9.219064609589173e-12,-6.4766664221385e-11,1.5333389637462747e-11,8.898478308528124e-11,-2.3415146700727814e-11,-9.847201216051634e-11,-6.722983458669305e-11,1.0343471361699708e-11,1.4288302444362398e-10,1.6311919900821058e-10,1.5794933861185674e-10,-9.810645628429457e-12,-2.470404538855382e-10,-2.6394764275941443e-10,1.4380620734843149e-10,8.73239909977411e-11,9.153266623344608e-11,1.0568349915242562e-10,-8.03163988984277e-11,-3.1209907807299624e-10,-2.349765820880861e-10,8.170847439622921e-11,2.659055133228274e-10,1.72483783528723e-10,6.845572669700751e-11,-5.643118908796734e-11,-1.3265006662988142e-10,-1.316288844013531e-10,1.2027609318860068e-11,1.9452004028158475e-10,1.7411679424177733e-10,-2.2391201218575205e-11,-1.43880373840738e-10,-9.940954942191276e-11,1.200093923430878e-12,2.3176702019386707e-10,1.7088692630697328e-10,-4.9657722898726795e-11,-9.976510973347285e-11
7000.0,-1.7502655523116702e-10,-9.344030293703591e-11,-2.4864938469622967e-10,-2.7477852320349115e-10,-1.7332879976991487e-10,-8.28921747114498e-11,-7.085309712662978e-11,-9.629024572247394e-11,-3.2244422923732155e-11,-2.59330252227368e-11,-2.2436773475598547e-11,4.4117384324402084e-11,-2.3119836010873415e-12,-9.655482819497385e-11,-1.5159753539574694e-10,1.555267971151244e-11,-9.255263366028582e-11,-4.527728121513463e-11,1.523437288747541e-10,7.548720376367419e-11,-9.367887388284004e-11,-8.22216471954268e-11,-1.2783903951632998e-10,-2.0942524065732844e-10,-2.1772648389852597e-10,-3.5511320536180206e-11,9.184648169875021e-11,1.2493009880855064e-10,5.48249711700715e-11,4.498523906944274e-11,-1.0685973077293348e-10,-1.8283478674195186e-10,-2.6310630899751633e-10,-1.9847126139013238e-10,2.279103490420491e-11,1.1023388691948324e-10,3.085866416942328e-10,2.6043221472010937e-10,6.273790727569832e-11,-7.476696217861246e-11,-3.719066420614785e-10,-1.2372618137662935e-10,3.211422682638865e-10,2.772285403114465e-10,4.372697659537048e-11,4.128680391683827e-11,-1.5618146062079e-10,7.168585451049965e-12,1.2854725617336046e-10,1.0556544781536944e-10,-5.900186920330625e-11,-1.1094752780926534e-10,-1.0974057525449018e-10,1.3701249453216173e-11,-5.3349297380335736e-11,-2.235314922819936e-11,8.252811418285596e-11,9.335804267881307e-11,-4.0371756326956067e-13,-7.461623882106918e-11,-1.550565592193519e-11,2.8929634975688738e-11,6.219289650096785e-11,6.232385060218557e-11,-1.416657912635509e-10,-1.0186173856404891e-10,1.069850557888135e-10,9.53262458056589e-11,-1.0127400050788375e-10
