time,10.0,20.0,30.0,50.0,70.0,100.0,125.0,150.0,175.0,200.0,225.0,250.0,300.0,350.0,400.0,450.0,500.0,550.0,600.0,650.0,700.0,750.0,775.0,800.0,825.0,850.0,875.0,900.0,925.0,950.0,975.0,1000.0
2024-02-14 09:00:00,655.9242,334.18243,274.64014,126.77055,53.41358,156.73804,274.88312,427.62466,558.26154,511.6433,417.3915,340.4969,232.83557,182.51349,165.93306,141.72038,118.5582,106.69044,93.30127,80.91545,71.55309,63.693047,59.363728,55.236267,50.744637,45.712364,41.473858,38.560963,36.669342,34.294674,32.262424,28.85327
2024-02-14 12:00:00,622.2717,338.2273,288.69855,138.85251,58.59588,125.8218,263.5897,401.90018,508.88254,470.44412,380.27264,306.41263,232.8276,179.85054,155.79854,127.16904,99.99663,91.88357,80.872734,65.51939,55.962746,52.331142,50.8249,46.858162,41.238377,35.719753,33.148373,32.54523,33.29754,33.589184,31.32581,27.901415
2024-02-14 15:00:00,561.35736,327.14694,274.62277,132.4889,56.96041,88.919815,237.10013,363.40714,446.4861,420.55533,350.9601,287.01523,218.45825,177.3561,144.70445,111.019196,83.50704,76.76006,69.666275,59.978844,54.282665,47.071968,44.269264,40.844185,35.32436,28.938974,25.847208,26.667255,29.323442,31.057426,29.91442,26.748556
2024-02-14 18:00:00,518.23425,311.698,249.867,104.68605,51.550026,74.750984,219.8693,344.52124,391.56934,380.22263,333.97232,287.0226,210.81293,165.22394,129.04474,93.82311,71.84178,67.90664,61.1343,55.488804,52.320072,44.40129,39.93796,35.265503,29.946413,24.508343,22.216433,23.348352,26.844408,29.387806,28.496473,25.579355
2024-02-14 21:00:00,584.5232,343.6522,253.21155,86.56391,52.109905,79.40389,195.56396,334.6197,352.50854,341.41132,303.01138,260.08353,191.14964,144.41057,113.59041,81.57073,63.10785,57.74963,51.67693,46.61688,43.45014,36.79531,32.259197,28.034452,24.063425,20.517996,19.230358,20.4837,23.371029,25.029444,23.866634,21.238884
2024-02-15 00:00:00,706.0877,404.88986,272.75113,91.72514,49.71843,95.38612,160.8146,286.16425,300.7421,301.24878,266.97614,218.91768,152.1386,109.052734,89.40365,67.846275,55.059612,47.729412,41.92787,38.024117,32.467674,26.51781,23.263453,20.67534,19.822607,19.910374,20.800905,21.782295,22.980268,23.705084,22.480732,19.252136
2024-02-15 03:00:00,763.09393,417.2367,265.2847,103.769485,40.489212,114.44205,149.40279,269.50446,300.1464,282.95453,244.10437,188.17577,118.66358,86.32169,68.559135,51.717316,40.42132,34.102306,29.757391,26.779127,23.716091,20.374104,18.42191,16.613976,15.89932,16.309685,17.506882,18.757336,20.207388,21.259567,20.60886,17.030943
2024-02-15 06:00:00,731.79767,403.99777,242.18495,118.82224,38.783592,130.46863,163.27298,270.041,312.80038,271.15292,220.92477,167.35173,104.04532,77.28275,57.763943,43.431988,34.171722,28.552217,24.469091,21.164488,19.613358,19.113155,18.313807,17.023134,15.349714,14.375136,14.764456,16.508059,19.232822,21.635166,21.334076,17.159319
2024-02-15 09:00:00,685.4503,404.52957,241.23216,140.66713,47.963936,127.00811,179.23225,264.22537,307.7406,247.12874,190.19666,147.06023,91.838684,68.98025,49.034565,35.48642,27.50697,24.126926,21.269617,18.095516,17.59949,18.173296,17.996954,17.19697,15.213562,13.664778,14.023511,16.656343,20.933678,24.382132,24.133022,19.335407
2024-02-15 12:00:00,683.28827,409.06482,260.54523,149.93393,52.19683,99.496735,185.9347,266.03052,279.50812,216.57053,154.01431,116.5127,76.238304,59.426308,40.44226,28.88566,22.024813,19.239311,17.24549,15.7566595,16.417383,17.364933,17.476555,17.165176,16.2085,15.901386,17.069086,20.256762,24.886349,28.245678,27.320173,22.883516
2024-02-15 15:00:00,589.4715,386.3868,257.77844,131.4018,48.782894,72.145,175.02414,248.22217,252.82089,198.80208,138.03888,103.700325,73.51122,55.88846,37.34777,25.266392,18.633528,17.524616,17.115595,17.409794,19.420145,21.163492,21.191319,20.839718,19.427828,18.213223,18.97442,21.48984,24.272217,26.48051,26.062696,22.50823
2024-02-15 18:00:00,516.01965,353.27887,246.98695,98.732666,43.96609,59.301086,159.83647,219.48831,232.0425,196.25023,142.8355,108.83596,76.09142,53.95433,37.334206,28.358706,21.508509,20.35238,20.630552,20.850952,21.725979,23.000383,22.06996,20.738169,19.865532,19.01521,19.27459,21.07681,23.389565,25.341806,25.527058,21.903069
2024-02-15 21:00:00,559.06714,367.709,259.53632,79.42396,45.46819,60.189243,143.32925,191.21588,215.66275,196.49931,155.38417,121.15197,78.5361,53.46598,37.7416,31.392605,23.97022,21.370543,21.41743,20.895071,19.941328,19.80939,19.235538,19.133127,19.894024,20.388912,20.889385,23.389135,26.516287,28.402185,28.235796,23.673534
2024-02-16 00:00:00,686.8477,395.3446,293.59995,75.94659,48.80815,70.08324,133.25429,182.48,200.89125,194.36281,165.66806,129.59074,79.24152,49.04984,32.332176,30.690893,24.80216,23.246538,20.975533,18.825462,16.370562,14.919671,14.873753,16.022125,18.8689,21.68437,24.1208,27.937931,32.122284,34.296494,33.316444,26.921299
2024-02-16 03:00:00,754.77856,382.8631,294.7481,83.48038,46.789925,81.346085,152.89783,212.1234,218.76807,197.59119,173.89293,140.816,88.70892,56.63462,38.65752,30.448969,23.50721,21.21742,18.966988,16.827595,15.224374,14.7744255,15.406889,16.905397,19.65952,22.690865,25.497303,29.375793,33.917927,36.23845,34.70972,27.241682
