,start,end
incipient,2024-02-14 09:00:00,2024-02-15 09:00:00
decay,2024-02-15 12:00:00,2024-02-17 21:00:00
intensification,2024-02-18 00:00:00,2024-02-19 15:00:00
mature,2024-02-19 18:00:00,2024-02-20 06:00:00
decay 2,2024-02-20 09:00:00,2024-02-22 15:00:00
residual,2024-02-22 18:00:00,2024-02-22 21:00:00
