time;Lat;Lon;length;width;min_max_zeta_850;min_hgt_850;max_wind_850
2024-02-15 09Z;-26.22814498933903;-41.97441364605544;10.135685210312076;11.98584997092459;-0.000327774194514;1512.9051513671875;12.036190032958984
2024-02-15 12Z;-25.26284163597597;-42.05485559216904;9.33126574917619;11.02054661756155;-0.0002803845298663;1523.3795166015625;12.332420349121094
2024-02-15 15Z;-24.498643147896885;-42.17551851133941;11.50319829424307;12.548943593719713;-0.0003293346502994;1527.8695068359375;13.940835952758787
2024-02-15 18Z;-24.74630293812069;-41.81010563749624;9.552409045974947;9.552409045974954;-0.0002320601693547;1518.142333984375;14.327958106994627
2024-02-15 21Z;-23.855107578988186;-41.330878077146735;10.216127156425664;10.698778833107184;-0.0002697857950066;1516.646240234375;16.084489822387695
2024-02-16 00Z;-24.48910275334533;-41.77040145320048;11.076496076104675;9.977301809010328;-0.0004242443400117;1522.6322021484375;15.299392700195312
2024-02-16 03Z;-24.085757397103144;-41.56919729649504;8.124433199727264;7.870544662235787;-0.0003184166797082;1517.3934326171875;15.761731147766112
2024-02-16 06Z;-24.69974801318086;-40.2851327776701;8.687730180267494;7.641984880790858;-0.0002275665086507;1503.92529296875;16.949825286865234
2024-02-16 09Z;-24.538864120953683;-41.25043613103316;7.561542934677263;8.124636557472385;-0.0002649424109289;1505.4229736328125;16.86762809753418
2024-02-16 12Z;-24.21709633649933;-40.526458616010856;8.205078503585966;7.9637526652452095;-0.000303352791765;1518.142333984375;16.12609100341797
2024-02-16 15Z;-24.096433417328942;-40.44601666989728;8.929056018608257;8.124636557472385;-0.0003559945660718;1511.4090576171875;17.332874298095703
2024-02-16 18Z;-23.774665632874598;-40.40579569684048;8.768172126381081;8.205078503585966;-0.0003686074737485;1497.9407958984375;19.10696601867676
2024-02-16 21Z;-23.37245590230665;-39.762260127931775;8.44640434192673;8.526846288040318;-0.0003434463039574;1490.4586181640625;19.437728881835938
2024-02-17 00Z;-23.21157201007948;-40.68734250823803;8.92905601860825;8.929056018608264;-0.0002795315007699;1500.9329833984375;18.92776298522949
2024-02-17 03Z;-24.03364999369372;-40.345951589933605;8.381544716171284;8.12755851265095;-0.0002236858575145;1488.213623046875;19.81015014648437
2024-02-17 06Z;-23.89532855204498;-39.72203915487498;6.757123473541384;8.607288234153913;-0.0003102802064377;1474.7454833984375;21.19465065002441
2024-02-17 09Z;-24.419913440848777;-39.920603744120925;6.940827194905161;10.326596558273536;-0.0003277179099002;1476.2415771484375;20.888442993164062
2024-02-17 12Z;-24.33775925566971;-40.09447478466109;7.320217096336492;10.698778833107184;-0.000281626830416;1480.7314453125;21.88901901245117
